"UPPER(SUBSTRING(fb_primarykey,3,24))","fund_id"
"830962CA48B82108C0A80135","1100-26"
"8DAC62CA48B82203C0A80135","1100-27"
"0063510C48BEB40FC0A80132","1100-28"
"24D0510C48BEB67CC0A80132","1100-29"
"F58C016148C5642BC0A80132","1100-30"
"FF8C3BA83C91C6A5C0A801E1","1100-6"
"446621E53BD7D105C0A80119","1101-1"
"60DE12CB42BD721AC0A80133","1102-1"
"9E4647D04303851DC0A80132","1102-3"
"723E301448751464C0A80135","1102-5"
"594040A63BDA1AC2C0A80118","1103-1"
"EB02047C42C0037CC0A80133","1104-1"
"3B8A3E5249ABF1DFC0A80135","1104-10"
"4CE72BDA49AFFFBBC0A80134","1104-11"
"053C620F5666873AC0A86FA6","1104-12"
"934168E25695FECBC0A86FA6","1104-13"
"513C31A442C5502FC0A80133","1104-2"
"F02558FB4300BE85C0A80134","1104-3"
"006257AF43273A07C0A80132","1104-4"
"F9467062443F4EB7C0A80133","1104-6"
"C63739AA47DE7560C0A80135","1104-7"
"39EB0AA447E74C11C0A80134","1104-8"
"82C054CB491D77B9C0A80132","1104-9"
"829957733BE0951EC0A801E1","1105-1"
"2E0E028E44610098C0A80133","1106-13"
"85802A3B486DC5EDC0A80132","1106-18"
"5E1D46D142DEA61EC0A80132","1106-7"
"A3D31289490B35D8C0A80135","1107-10"
"5C81737A4CD408A2C0A80135","1107-11"
"23310D5051E8484CC0A80135","1107-12"
"39805EF73F550135C0A80134","1107-2"
"CD48278A3FF1F00AC0A80134","1107-3"
"CC9C5E67408416D1FFFFFFFF","1107-4"
"B427017841A23860C0A80134","1107-5"
"29882E393BE19FA5C0A801E1","1107-6"
"33182E393BE1A1F5C0A801E1","1107-7"
"4A822E393BE1A845C0A801E1","1107-8"
"A877013E43BC1C9DC0A80132","1107-9"
"2E83099C4763EE70C0A80132","1108-14"
"FF9D5C024C04370EC0A80135","1108-17"
"A04E185A564A4145C0A86FA6","1108-18"
"ADB825C8398C2DC4C0A80118","111-2"
"DD1D0A0D39936D3BC0A80119","111-3"
"E8FE6CA740131E3AC0A80134","111-4"
"BB2B035640268A88C0A80133","111-5"
"8E941C8D3A32DE02C0A80119","111-6"
"FC0D4D633A330769C0A801E0","111-7"
"704865743A6F9916C0A80119","111-8"
"A14A3BA93CB4F07AC0A801E0","111-9"
"FB103BFC3BE8B0B3C0A801E0","1110-1"
"8FB410FD3C5AE5DDC0A801E1","1110-3"
"7A7E0EED49875829C0A80134","1111-4"
"BBA7357B42C74D42C0A80132","1112-1"
"B17764E73FD8C84FC0A80146","1113-2"
"E33204A73BE74198C0A801E9","1113-3"
"65CE431A3D292002C0A801DC","1113-4"
"F9381A4242D699F6C0A8013C","1113-5"
"0BDC11AA3BE78ACEC0A80118","1114-1"
"20FC4E4D48CEAC48C0A80132","1114-2"
"AA8C02D548EA69ABC0A80133","1114-3"
"29E811AE3BE7AF17C0A80118","1115-1"
"D0E7176D449B455CC0A80134","1116-11"
"5043351F44A1EF4BC0A80134","1116-12"
"C5E3125B450DEE74C0A80133","1116-20"
"449D0B4B450E1025C0A80132","1116-21"
"DD7517D93BE8395AC0A801E1","1116-4"
"09A8680843163EF8C0A80133","1117-3"
"07FD605E4C98092CC0A80134","1117-6"
"3859405956F28D50C0A86FA6","1118-56"
